VideoAnalysis: Time (s),VideoAnalysis: X,X (Correct Origin),X (cm),X Absolute Value,X (m),VideoAnalysis: Y,Y (Correct Origin),Y (cm),Y Absolute Value,Y (m),VideoAnalysis: X Velocity,VideoAnalysis: Y Velocity,,,,,,,,,,,,,
0.1031,516.3111093,32.68889072,3.268889072,3.268889072,0.032688891,441.4306366,-248.4306366,-24.84306366,24.84306366,0.248430637,159.2897602,-34.2026476,,,,,,,,,,,,,
0.169744444,526.2976583,22.70234166,2.270234166,2.270234166,0.022702342,444.3349674,-251.3349674,-25.13349674,25.13349674,0.251334967,170.8008386,-132.9627248,,,,,,,,,,,,,
0.236388889,538.1712458,10.82875418,1.082875418,1.082875418,0.010828754,430.7840124,-237.7840124,-23.77840124,23.77840124,0.237784012,183.8286449,-239.3316867,,,,,,,,,,,,,
0.303033333,551.9357545,-2.935754534,-0.293575453,0.293575453,0.002935755,406.2020365,-213.2020365,-21.32020365,21.32020365,0.213202036,180.1292729,-254.5336143,,,,,,,,,,,,,
0.369666667,563.3395238,-14.33952381,-1.433952381,1.433952381,0.014339524,386.5861555,-193.5861555,-19.35861555,19.35861555,0.193586156,154.0542051,-115.6663765,,,,,,,,,,,,,
0.436311111,573.9822652,-24.98226524,-2.498226524,2.498226524,0.024982265,386.0425642,-193.0425642,-19.30425642,19.30425642,0.193042564,101.6595703,100.4423955,,,,,,,,,,,,,
0.502955556,578.8823527,-29.88235269,-2.988235269,2.988235269,0.029882353,403.4530175,-210.4530175,-21.04530175,21.04530175,0.210453018,21.90643387,257.6531405,,,,,,,,,,,,,
0.5696,575.3295951,-26.32959515,-2.632959515,2.632959515,0.026329595,430.2753662,-237.2753662,-23.72753662,23.72753662,0.237275366,-37.65631583,252.513199,,,,,,,,,,,,,
0.636244444,572.0020397,-23.00203973,-2.300203973,2.300203973,0.02300204,447.7401787,-254.7401787,-25.47401787,25.47401787,0.254740179,-71.45410752,76.99355284,,,,,,,,,,,,,
0.702888889,566.3797524,-17.37975239,-1.737975239,1.737975239,0.017379752,442.8051461,-249.8051461,-24.98051461,24.98051461,0.249805146,-107.2429393,-140.1587943,,,,,,,Origin,549,193,,12,10.33333333,
