VideoAnalysis: Time (s),VideoAnalysis: X,X (m),X Absolute Value,VideoAnalysis: Y,Y (m),Y Absolute Value,VideoAnalysis: X Velocity,VideoAnalysis: Y Velocity
0.1031,-32.32444424,-0.032324444,0.032324444,249.2219215,0.249221922,0.249221922,159.2897602,-34.2026476
0.169744444,-22.33789519,-0.022337895,0.022337895,252.1262523,0.252126252,0.252126252,170.8008386,-132.9627248
0.236388889,-10.4643077,-0.010464308,0.010464308,238.5752973,0.238575297,0.238575297,183.8286449,-239.3316867
0.303033333,3.300201008,0.003300201,0.003300201,213.9933214,0.213993321,0.213993321,180.1292729,-254.5336143
0.369666667,14.70397028,0.01470397,0.01470397,194.3774404,0.19437744,0.19437744,154.0542051,-115.6663765
0.436311111,25.34671171,0.025346712,0.025346712,193.8338491,0.193833849,0.193833849,101.6595703,100.4423955
0.502955556,30.24679916,0.030246799,0.030246799,211.2443024,0.211244302,0.211244302,21.90643387,257.6531405
0.5696,26.69404162,0.026694042,0.026694042,238.0666512,0.238066651,0.238066651,-37.65631583,252.513199
0.636244444,23.3664862,0.023366486,0.023366486,255.5314636,0.255531464,0.255531464,-71.45410752,76.99355284
0.702888889,17.74419886,0.017744199,0.017744199,250.596431,0.250596431,0.250596431,-107.2429393,-140.1587943
0.769522222,9.089448536,0.009089449,0.009089449,231.3338844,0.231333884,0.231333884,-139.9701962,-267.4310714
0.836166667,-2.061939057,-0.002061939,0.002061939,205.5171796,0.20551718,0.20551718,-153.4259266,-233.9839671
0.902811111,-12.27369023,-0.01227369,0.01227369,190.424755,0.190424755,0.190424755,-149.0784347,-43.32057957
0.969455556,-23.92595839,-0.023925958,0.023925958,197.5225045,0.197522504,0.197522504,-113.818397,181.6362237
1.0361,-27.44765357,-0.027447654,0.027447654,221.5686547,0.221568655,0.221568655,-73.50024699,292.5404066
1.102744444,-33.53587632,-0.033535876,0.033535876,247.9095368,0.247909537,0.247909537,-34.03480553,216.5926914
1.169388889,-32.9961678,-0.032996168,0.032996168,259.6433437,0.259643344,0.259643344,16.73360626,-6.378530159
1.236022222,-29.74626828,-0.029746268,0.029746268,246.2399349,0.246239935,0.246239935,47.54091562,-219.4498583
1.302666667,-26.53131392,-0.026531314,0.026531314,221.2424999,0.2212425,0.2212425,76.77546903,-285.6352564
1.369311111,-20.63723092,-0.020637231,0.020637231,198.2252904,0.19822529,0.19822529,116.676936,-182.9393603
1.435955556,-10.27405074,-0.010274051,0.010274051,189.760797,0.189760797,0.189760797,144.2782938,35.78547487
1.5026,0.512354109,0.000512354,0.000512354,204.4028174,0.204402817,0.204402817,143.2024532,230.3701612
1.569244444,9.842710789,0.009842711,0.009842711,229.5827438,0.229582744,0.229582744,123.2965357,276.2971848
1.635877778,16.93657748,0.016936577,0.016936577,251.4778255,0.251477826,0.251477826,99.10532209,151.9704513
1.702522222,23.26165073,0.023261651,0.023261651,255.7838453,0.255783845,0.255783845,68.25759702,-68.99207107
1.769166667,26.73286957,0.02673287,0.02673287,239.3285596,0.23932856,0.23932856,25.19969416,-241.8319251
1.835811111,28.05301992,0.02805302,0.02805302,213.7564709,0.213756471,0.213756471,-38.07379045,-255.480863
1.902455556,21.47556498,0.021475565,0.021475565,195.7014736,0.195701474,0.195701474,-100.6501413,-109.8875762
1.9691,13.56242852,0.013562429,0.013562429,194.9559769,0.194955977,0.194955977,-145.5525312,103.8749512
2.035744444,2.003347437,0.002003347,0.002003347,213.6555182,0.213655518,0.213655518,-182.7757319,249.1748604
2.102377778,-13.61325455,-0.013613255,0.013613255,238.3656264,0.238365626,0.238365626,-178.3067512,229.3597095
2.169022222,-22.22141133,-0.022221411,0.022221411,253.1280134,0.253128013,0.253128013,-160.4564098,62.90380028
2.235666667,-34.76283958,-0.03476284,0.03476284,248.569612,0.248569612,0.248569612,-137.0053093,-135.5096158
2.302311111,-43.29334047,-0.04329334,0.04329334,229.8506567,0.229850657,0.229850657,-72.2815164,-246.8990511
2.368955556,-45.16096492,-0.045160965,0.045160965,205.4511721,0.205451172,0.205451172,7.104785353,-192.8882213
2.4356,-42.40806318,-0.042408063,0.042408063,196.7808906,0.196780891,0.196780891,89.31525705,-17.5879066
2.502233333,-32.88744954,-0.03288745,0.03288745,203.1137295,0.203113729,0.203113729,162.2518114,160.2311923
2.568877778,-18.76960647,-0.018769606,0.018769606,224.3526188,0.224352619,0.224352619,202.628481,234.4727561
2.635522222,-4.523631165,-0.004523631,0.004523631,243.906375,0.243906375,0.243906375,217.2040623,153.0706181
