VideoAnalysis: Time (s),X (m) Trial 1,Y (m) Trial 1,X (m) Trial 2,Y (m) Trial 2,X (m) Trial 3,Y (m) Trial 3,Average X Position,Uncertainty X,Average Y Position,Uncertainty Y,,,
0,0.003300201,0.213993321,0.0094603,0.218314614,0.006399977,0.079199718,0.006386826,0.003080071,0.170502551,0.079100087,,,Uncertainty
0.066666667,0.01470397,0.19437744,0.000727715,0.205943452,0.037599866,0.054399807,0.017677184,0.018615018,0.151573566,0.08435341,,,X Position
0.133333333,0.025346712,0.193833849,-0.010188015,0.21103746,0.063199775,0.047199832,0.026119491,0.036699998,0.15069038,0.090037277,,,Y Position
0.2,0.030246799,0.211244302,-0.016009738,0.227047198,0.08159971,0.067999758,0.03194559,0.048826893,0.168763753,0.087621172,,,Time 
0.266666667,0.026694042,0.238066651,-0.020376031,0.24887866,0.086399693,0.09839965,0.030905901,0.053512322,0.195114987,0.083932218,,,
0.333333333,0.023366486,0.255531464,-0.021831461,0.257611244,0.085599696,0.126399551,0.029044907,0.053940214,0.213180753,0.07516192,,,
0.4,0.017744199,0.250596431,-0.018192884,0.24887866,0.073599738,0.131999531,0.024383684,0.046255091,0.21049154,0.0679815,,,
0.466666667,0.009089449,0.231333884,-0.016009738,0.233596637,0.058399792,0.113599596,0.017159834,0.037855553,0.192843372,0.068636448,,,
0.533333333,-0.002061939,0.20551718,-0.008004869,0.21103746,0.038399863,0.074399735,0.009444352,0.02525165,0.163651458,0.077343525,,,
0.6,-0.01227369,0.190424755,0.001455431,0.203760306,0.015199946,0.047999829,0.001460562,0.013736819,0.147394963,0.086336573,,,
0.666666667,-0.023925958,0.197522504,0.010915731,0.212492891,-0.009599966,0.041599852,-0.007536731,0.017512239,0.150538416,0.094640034,,,
0.733333333,-0.027447654,0.221568655,0.0189206,0.233596637,-0.031199889,0.069599753,-0.013242314,0.027917013,0.174921681,0.091409516,,,
0.8,-0.033535876,0.247909537,0.027653184,0.252517237,-0.048799826,0.107199619,-0.018227506,0.04046017,0.202542131,0.082601172,,,
0.866666667,-0.032996168,0.259643344,0.031291761,0.252517237,-0.057599795,0.130399536,-0.019768067,0.045898412,0.214186706,0.072649244,,,
